SKU,Source,Title,Description,Price,Number of Reviews and rating
16402301141,Walmart,"AN Supps Essential PRE Workout Powder Pineapple Strawberry, 200mg Caffeine, No Sugar, Vegan, Gluten & Soy Free, Chiquita® Natural Flavor, Pre-Workout Energy Drink – 30 Servings",Walmart Product,$22.97,"Rating: 4.5, Reviews: 94"
14551419,Walmart,"Bio Ionic Graphene MX Hair Dryer, Powerful 1875W Motor, Lightweight, Professional Hair Dryer",Walmart Product,$10.97,"Rating: 4.5, Reviews: 5,729"
12385200517,Walmart,"Black + Decker 2-Slice Toaster, Extra-Wide Self-Centering Slots, Stainless Steel",Walmart Product,$39.99,"Rating: 4.7, Reviews: 1,706"
15813024789,Walmart,"Whiskey Glasses 10 oz Set of 10, Bulk Pack - Perfect for Scotch, Bourbon, Whiskey, Cocktail - Black",Walmart Product,$25.99,"Rating: 4.9, Reviews: 692"
113202282,Walmart,"Marketside Pizza Ranch Chopped Salad Kit, 12.6 oz Bag",Walmart Product,$3.37,"Rating: 4.4, Reviews: 921"
162577028,Walmart,"Fresh Cherubs Grape Tomatoes, 24 oz Package",Walmart Product,$0.83,"Rating: 4.0, Reviews: 10.1K"
122730097,Walmart,"InnovAsian Orange Chicken Meal, 18 oz (Frozen Meal)",Walmart Product,$5.87,"Rating: 4.6, Reviews: 5,310"
853001102,Walmart,"Bimbo Mini Mantecadas Vanilla Muffins, 8 twin packs, Mini Muffins, 17.6 oz Multipack",Walmart Product,$4.48,"Rating: 4.3, Reviews: 1,000"
37858875,Walmart,"Ball Park White Burger Buns, 8 count, Kosher Hamburger Buns, 15 oz Bag",Walmart Product,$2.47,"Rating: 4.4, Reviews: 12.3K"
15682669104,Walmart,"Kinder's Buttery Buffalo Frozen Chicken Wings, 19 oz Bag",Walmart Product,$7.94,"Rating: 4.4, Reviews: 3,775"
5014959803,Walmart,"Black Burgundy Red Rose Bouquet Building Set, Compatible with Lego Flowers for Adults - Christmas Botanical Collection - Gothic Artificial Flowers Home Decor",Walmart Product,$55.58,"Rating: 4.7, Reviews: 1,523"
17143768469,Walmart,"Squishmallows Original 10-Inch Walsh The Valentine's Day Rose - Official Jazwares Valentines Day Plush - Collectible Soft & Squishy Flower Stuffed Animal Toy - Gift for Kids, Girls & Boys",Walmart Product,$19.97,"Rating: 5.0, Reviews: 11"
630562428,Walmart,"Feastables MrBeast Peanut Butter Milk Chocolate Bar, 2.1 oz (60g), 1 Count",Walmart Product,$4.97,"Rating: 4.7, Reviews: 1,487"
17732824958,Walmart,"Hallmark Funny Valentine's Day Card (Really, Really Like You)",Walmart Product,$2.74,"Rating: 5.0, Reviews: 2"
18332664128,Walmart,Marvel Spider-Man 16 Pack Valentine's Day Exchange Cards with Vinyl Stickers,Walmart Product,$3.88,"Rating: 4.9, Reviews: 123"
17260652268,Walmart,"2PCS Valentines Heart Shaped Topiary 30'' Artificial Snowman Shaped Topiary Tree Pot with Bow Tie Boxwood Topiaries for Valentine's Day Indoor Outdoor Home Porch Decor, Valentines Gift",Walmart Product,$45.00,"Rating: 4.7, Reviews: 123"
17620961573,Walmart,Hallmark Minecraft Valentine's Day Card for Kids (Explosion of Fun),Walmart Product,$3.97,"Rating: 4.8, Reviews: 24"
17046952653,Walmart,Plastic Valentine Heart Cups - Party Supplies - 12 Pieces,Walmart Product,$2.48,"Rating: 4.9, Reviews: 16"
17256821205,Walmart,"Hallmark Mini Assorted Valentine's Day Cards (Playful Kids), Pack of 8",Walmart Product,$3.97,"Rating: 4.1, Reviews: 7"
17760712850,Walmart,"Millie Loves Lily Girls Valentine's Day Red Hearts and Flowers Long Sleeve Dress And Legging Set, Big Girls, Size 12, 2-PCS",Walmart Product,$10.98,"Rating: 4.8, Reviews: 66"
17753308469,Walmart,"Millie Loves Lily Girls Valentine's Day Red Hearts and Flowers Long Sleeve Dress And Legging Set, Big Girls, Size 12, 2-PCS",Walmart Product,$10.98,"Rating: 4.8, Reviews: 66"
17783555747,Walmart,"Girls' 4-Pack Fleece Lined Leggings: Whimsical Wonderland of Styles in Sizes 4-16! Unicorns, Flowers & Hearts Galore!, LAVEN,10",Walmart Product,$6.48,"Rating: 4.5, Reviews: 19"
17887806021,Walmart,Disney Pixar Cars Lightning McQueen Toddler Boys 3 Pack T-Shirts Infant to Little Kid,Walmart Product,$6.98,"Rating: 4.8, Reviews: 117"
17912069471,Walmart,Inktastic Happy Valentine's Day Train Boys or Girls Toddler T-Shirt,Walmart Product,$5.48,"Rating: 4.9, Reviews: 133"
17541659149,Walmart,"Strawberry Shortcake Toddler Girls Chenille Sweater, Sizes 12 Months - 5T",Walmart Product,$6.98,"Rating: 4.8, Reviews: 180"
17986513126,Walmart,Disney Minnie Mouse Girls Sherpa Zip-Up Hoodie Graphic Print Design Hooded Sweatshirt for Kids (Sizes 4-6),Walmart Product,$13.98,"Rating: 4.4, Reviews: 20"
17751050280,Walmart,"Kensie Girl Sequin Mesh Short Sleeve Red Dress, Sizes 4-16",Walmart Product,$6.48,"Rating: 4.9, Reviews: 15"
17756953951,Walmart,"BTween Girls Long Sleeve Dresses, 3 Pack Soft Cotton Casual Dresses for Kids Mauve, Size 10/12",Walmart Product,$10.00,"Rating: 4.6, Reviews: 19"
17559219024,Walmart,"Celebrity Pink Women's Zip Front Hoodie, Sizes XS-4X",Walmart Product,$16.00,"Rating: 4.5, Reviews: 13"
17970760538,Walmart,Twczz Girls St Patricks Day Shirts- Casual Long Sleeve Cute Soft Kids Luck Tops Mint Green Size 4-14,Walmart Product,$6.98,"Rating: 4.9, Reviews: 13"
17806956215,Walmart,Heart Sweater for Women Valentine's Day Cute Heart Printed Lightweight Sweaters Casual Creneck Pullover Shermie,Walmart Product,$17.98,"Rating: 4.4, Reviews: 33"
17568056423,Walmart,Angel Face Girls Pajama Set - 4 Piece Soft Poly Sleep Shirt and Pajama Pants for Girls (7-12),Walmart Product,$13.98,"Rating: 4.6, Reviews: 22"
849048709,Walmart,Fdqin Girls Fall Outfits 4 Pcs Hoodies for Teen Girls Long Sleeve Crop Sweatshirt Top and Jogging Sweat Pants Set Pink Beige 9-10 Years,Walmart Product,$17.88,"Rating: 4.7, Reviews: 390"
16440204677,Walmart,Oudiya Girls Contrast Mesh Short Sleeve A Line Party Dresses Black Formal Dress with Pockets for Tween 5-12Y,Walmart Product,$10.00,"Rating: 4.3, Reviews: 29"
17616818606,Walmart,Barbie Girls Fashion Tutu Dress Top and Butterfly Print Graphic Legging Pants 2Pcs Long Sleeve Outfit Sets Sizes 2-9Y,Walmart Product,$12.98,"Rating: 4.3, Reviews: 15"
1941988539,Walmart,"BTween Girls 3 Piece Long Sleeve Crew Neck Pullovers, Fleece Sweatshirt for Youth Kids, CHARC,7",Walmart Product,$10.40,"Rating: 4.7, Reviews: 6"
8455674783,Walmart,Barbie Kid Girls Letter Pint Puff Sleeves Top with Houndstooth Bowknot Short 2 Pcs Outfit Set Sizes 3-10,Walmart Product,$10.00,"Rating: 4.6, Reviews: 49"
8466424466,Walmart,Barbie Kid Girls Letter Pint Puff Sleeves Top with Houndstooth Bowknot Short 2 Pcs Outfit Set Sizes 3-10,Walmart Product,$29.99,"Rating: 4.6, Reviews: 232"
108358401,Walmart,Tstars Boys Unisex Valentine's Day Shirts for Kids Love Mommy Is My Valentine Childrens Gift for Valentine's Day Cute Gift Idea for Boy Kids Long Sleeve T Shirt,Walmart Product,$14.95,"Rating: 4.4, Reviews: 21"
18283066130,Walmart,RBX Boys Sweat Pants - 4 Pack Tricot Joggers for Boys - Soft Athletic Pants for Kids (Sizes: 8-16),Walmart Product,$4.48,"Rating: 4.8, Reviews: 19"
298697761,Walmart,Tstars Boys Unisex Valentine's Day Shirts for Kids Love Mommy Is My Valentine Childrens Gift for Valentine's Day Cute Gift Idea for Boy Kids Long Sleeve T Shirt,Walmart Product,$14.99,"Rating: 4.2, Reviews: 6"
17692262053,Walmart,"Wonder Nation Girls Cushioned Crew Socks, 10-Pack, Sizes S (6-10.5) - L (4-10)",Walmart Product,$14.98,"Rating: 5.0, Reviews: 2"
17990105432,Walmart,Hello Kitty Velour Zip Up Hoodie and Jogger Pants Outfit Set Toddler to Big Kid,Walmart Product,$18.99,"Rating: 5.0, Reviews: 3"
3628000774,Walmart,Peanuts - Snoopy Valentine's Hugging Heart  - Toddler And Youth Short Sleeve Graphic T-Shirt,Walmart Product,$21.99,"Rating: 5.0, Reviews: 2"
5276100309,Walmart,Marvel Spider-Man Boys Hoodies Peter Parker Blue Graphic Pullover Tops Halloween Sweatshirts Toddlers Kids 4-5T,Walmart Product,$12.99,"Rating: 3.0, Reviews: 6"
5326288985,Walmart,"Bose Ultra Open Earbuds, Bluetooth Wireless Open Ear Headphones, Black",Walmart Product,$164.95,"Rating: 4.3, Reviews: 22.4K"
17045262072,Walmart,Loicainy Baby Toddler Girls Long Sleeve Jumpsuit 3 6 9 12 18 Months Floral Print Fake Two Pieces Patchwork Bow Romper and Cute Headband Set,Walmart Product,$12.99,"Rating: 4.7, Reviews: 820"
B01LR5S6HK,Amazon,"amazon basics Neoprene Dumbbells, Set Of 2, (4.5 Kgs Each ) - Navy Blue",Amazon Product,"₹2,389",Rating: 4.3
B0CT4BB651,Amazon,"Stanley IceFlow Stainless Steel Tumbler with Straw - Vacuum Insulated Water Bottle for Home, Reusable Cup with Straw Leakproof Flip - Cold for 12 Hours or Iced for 2 Days, 30 Oz, Lilac",Amazon Product,"₹16,024.15",Rating: 4.7
435337138,Walmart,"Aireolux 100% Cotton Egyptian 1000 Thread Count King Bed Sheet Set – 4-Piece Silky Sateen, Deep Pocket, Super Soft & Breathable, Green by Linen Closet",Walmart Product,$84.99,"Rating: 4.7, Reviews: 400"
19127002050,Walmart,"NICEBAY Hair Dryer Brush, Blow Dryer Brush, Curly, Dry, Oval Hot Air Brush with Air Curling Iron",Walmart Product,$59.89,"Rating: 4.8, Reviews: 2,323"
10970652792,Walmart,"48-Piece Silverware Set with Organizer, Stainless Steel Silverware Flatware Set for 8, Kitchen Utensils with Steak Knives, Mirror Polished Dinner Knife, Forks, Spoons, Tableware Serving Tray",Walmart Product,$29.99,"Rating: 4.8, Reviews: 414"
17523261689,Walmart,"5HP Foldable Treadmill for Home w/ 15% Auto Incline, 400lbs Capacity, 10MPH Portable Treadmill, 64+7 Programs, Personalized Workout with APP,  Running Walking treadmill",Walmart Product,$199.99,"Rating: 4.7, Reviews: 550"
1553775416,Walmart,"Loritta 5 Pairs Warm Wool Socks for Women, Thick Knit Thermal Crew Winter Warm Socks Size 5-9",Walmart Product,$9.69,"Rating: 4.7, Reviews: 664"
16402301141,Walmart,"AN Supps Essential PRE Workout Powder Pineapple Strawberry, 200mg Caffeine, No Sugar, Vegan, Gluten & Soy Free, Chiquita® Natural Flavor, Pre-Workout Energy Drink – 30 Servings",Walmart Product,$22.97,"Rating: 4.5, Reviews: 94"
14551419,Walmart,"Bio Ionic Graphene MX Hair Dryer, Powerful 1875W Motor, Lightweight, Professional Hair Dryer",Walmart Product,$10.97,"Rating: 4.5, Reviews: 5,729"
12385200517,Walmart,"Black + Decker 2-Slice Toaster, Extra-Wide Self-Centering Slots, Stainless Steel",Walmart Product,$39.99,"Rating: 4.7, Reviews: 1,706"
15813024789,Walmart,"Whiskey Glasses 10 oz Set of 10, Bulk Pack - Perfect for Scotch, Bourbon, Whiskey, Cocktail - Black",Walmart Product,$25.99,"Rating: 4.9, Reviews: 692"
113202282,Walmart,"Marketside Pizza Ranch Chopped Salad Kit, 12.6 oz Bag",Walmart Product,$3.37,"Rating: 4.4, Reviews: 921"
162577028,Walmart,"Fresh Cherubs Grape Tomatoes, 24 oz Package",Walmart Product,$0.83,"Rating: 4.0, Reviews: 10.1K"
122730097,Walmart,"InnovAsian Crispy Honey Chicken, 36 oz (Frozen Meal)",Walmart Product,$5.87,"Rating: 4.6, Reviews: 5,310"
853001102,Walmart,"Bimbo Mini Mantecadas Vanilla Muffins, 8 twin packs, Mini Muffins, 17.6 oz Multipack",Walmart Product,$4.48,"Rating: 4.3, Reviews: 1,000"
37858875,Walmart,"Ball Park White Burger Buns, 8 count, Kosher Hamburger Buns, 15 oz Bag",Walmart Product,$2.47,"Rating: 4.4, Reviews: 12.3K"
15682669104,Walmart,"Kinder's Buttery Buffalo Frozen Chicken Wings, 19 oz Bag",Walmart Product,$7.94,"Rating: 4.4, Reviews: 3,775"
5014959803,Walmart,"Black Burgundy Red Rose Bouquet Building Set, Compatible with Lego Flowers for Adults - Christmas Botanical Collection - Gothic Artificial Flowers Home Decor",Walmart Product,$55.58,"Rating: 4.7, Reviews: 1,523"
17143768469,Walmart,"Emotional Support Valentine Heart Plush Toys, Set of 10 Plushies with Cards for Classroom Valentines, Gifts for Friends by Emotional Support Pals",Walmart Product,$19.97,"Rating: 5.0, Reviews: 11"
630562428,Walmart,Kanga Roos Chocolate Covered Peanut Butter Filled Pretzels 2oz Bag | Sweet and Salty Snack Treat | Crunchy Pretzels Coated in Chocolate | Grab-and-Go Candy Snack - 2 oz x 24 ct. - Peg Bag,Walmart Product,$4.97,"Rating: 4.7, Reviews: 1,487"
17732824958,Walmart,"Hallmark Funny Valentine's Day Card (Really, Really Like You)",Walmart Product,$2.74,"Rating: 5.0, Reviews: 2"
18332664128,Walmart,Marvel Spider-Man 16 Pack Valentine's Day Exchange Cards with Vinyl Stickers,Walmart Product,$3.88,"Rating: 4.9, Reviews: 123"
17260652268,Walmart,"2PCS Valentines Heart Shaped Topiary 30'' Artificial Snowman Shaped Topiary Tree Pot with Bow Tie Boxwood Topiaries for Valentine's Day Indoor Outdoor Home Porch Decor, Valentines Gift",Walmart Product,$45.00,"Rating: 4.7, Reviews: 123"
17620961573,Walmart,Hallmark Minecraft Valentine's Day Card for Kids (Explosion of Fun),Walmart Product,$3.97,"Rating: 4.8, Reviews: 24"
17046952653,Walmart,Plastic Valentine Heart Cups - Party Supplies - 12 Pieces,Walmart Product,$2.48,"Rating: 4.9, Reviews: 16"
17256821205,Walmart,"Hallmark Mini Assorted Valentine's Day Cards (Playful Kids), Pack of 8",Walmart Product,$3.97,"Rating: 4.1, Reviews: 7"
17760712850,Walmart,"Millie Loves Lily Girls Valentine's Day Red Hearts and Flowers Long Sleeve Dress And Legging Set, Big Girls, Size 12, 2-PCS",Walmart Product,$10.98,"Rating: 4.8, Reviews: 66"
17753308469,Walmart,"Millie Loves Lily Girls Valentine's Day Red Hearts and Flowers Long Sleeve Dress And Legging Set, Big Girls, Size 12, 2-PCS",Walmart Product,$10.98,"Rating: 4.8, Reviews: 66"
17783555747,Walmart,"Girls' 4-Pack Fleece Lined Leggings: Whimsical Wonderland of Styles in Sizes 4-16! Unicorns, Flowers & Hearts Galore!, LAVEN,10",Walmart Product,$6.48,"Rating: 4.5, Reviews: 19"
17887806021,Walmart,Disney Pixar Cars Lightning McQueen Toddler Boys 3 Pack T-Shirts Infant to Little Kid,Walmart Product,$6.98,"Rating: 4.8, Reviews: 117"
17912069471,Walmart,Inktastic Happy Valentine's Day Train Boys or Girls Toddler T-Shirt,Walmart Product,$5.48,"Rating: 4.9, Reviews: 133"
17541659149,Walmart,"Strawberry Shortcake Toddler Girls Chenille Sweater, Sizes 12 Months - 5T",Walmart Product,$6.98,"Rating: 4.8, Reviews: 180"
17986513126,Walmart,Disney Minnie Mouse Girls Sherpa Zip-Up Hoodie Graphic Print Design Hooded Sweatshirt for Kids (Sizes 4-6),Walmart Product,$13.98,"Rating: 4.4, Reviews: 20"
17751050280,Walmart,"Kensie Girl Sequin Mesh Short Sleeve Red Dress, Sizes 4-16",Walmart Product,$6.48,"Rating: 4.9, Reviews: 15"
17756953951,Walmart,"BTween Girls Long Sleeve Dresses, 3 Pack Soft Cotton Casual Dresses for Kids Mauve, Size 10/12",Walmart Product,$10.00,"Rating: 4.6, Reviews: 19"
17559219024,Walmart,"Celebrity Pink Women's Zip Front Hoodie, Sizes XS-4X",Walmart Product,$16.00,"Rating: 4.5, Reviews: 13"
17970760538,Walmart,Twczz Girls St Patricks Day Shirts- Casual Long Sleeve Cute Soft Kids Luck Tops Mint Green Size 4-14,Walmart Product,$6.98,"Rating: 4.9, Reviews: 13"
17806956215,Walmart,Heart Sweater for Women Valentine's Day Cute Heart Printed Lightweight Sweaters Casual Creneck Pullover Shermie,Walmart Product,$17.98,"Rating: 4.4, Reviews: 33"
17568056423,Walmart,Angel Face Girls Pajama Set - 4 Piece Soft Poly Sleep Shirt and Pajama Pants for Girls (7-12),Walmart Product,$13.98,"Rating: 4.6, Reviews: 22"
849048709,Walmart,Fdqin Girls Fall Outfits 4 Pcs Hoodies for Teen Girls Long Sleeve Crop Sweatshirt Top and Jogging Sweat Pants Set Pink Beige 9-10 Years,Walmart Product,$17.88,"Rating: 4.7, Reviews: 390"
16440204677,Walmart,Oudiya Girls Contrast Mesh Short Sleeve A Line Party Dresses Black Formal Dress with Pockets for Tween 5-12Y,Walmart Product,$10.00,"Rating: 4.3, Reviews: 29"
17616818606,Walmart,Barbie Girls Fashion Tutu Dress Top and Butterfly Print Graphic Legging Pants 2Pcs Long Sleeve Outfit Sets Sizes 2-9Y,Walmart Product,$12.98,"Rating: 4.3, Reviews: 15"
1941988539,Walmart,HILEELANG Toddler Boy(2-7Y) Raglan Sleeve Sweatshirt with Excavator Print – Cute Construction Pullover Top for Fall 5T,Walmart Product,$10.40,"Rating: 4.7, Reviews: 6"
8455674783,Walmart,Barbie Girls Dress Roseowhite Allover Letter Print Bowknot Sleeveless Summer Dresses Sizes 7-8 Years,Walmart Product,$10.00,"Rating: 4.6, Reviews: 49"
8466424466,Walmart,Barbie Kid Girls Letter Pint Puff Sleeves Top with Houndstooth Bowknot Short 2 Pcs Outfit Set Sizes 3-10,Walmart Product,$29.99,"Rating: 4.6, Reviews: 232"
108358401,Walmart,Tstars Boys Unisex Valentine's Day Shirts for Kids Love Mommy Is My Valentine Childrens Gift for Valentine's Day Cute Gift Idea for Boy Kids Long Sleeve T Shirt,Walmart Product,$14.95,"Rating: 4.4, Reviews: 21"
18283066130,Walmart,RBX Boys Sweat Pants - 4 Pack Tricot Joggers for Boys - Soft Athletic Pants for Kids (Sizes: 8-16),Walmart Product,$4.48,"Rating: 4.8, Reviews: 19"
298697761,Walmart,"Tstars Boys Unisex Valentine's Day Dump Truck ""Loads of Love"" Toddler Kids Long Sleeve T-Shirt Gift Idea",Walmart Product,$14.99,"Rating: 4.2, Reviews: 6"
17692262053,Walmart,"Wonder Nation Girls Cushioned Crew Socks, 10-Pack, Sizes S (6-10.5) - L (4-10)",Walmart Product,$14.98,"Rating: 5.0, Reviews: 2"
17990105432,Walmart,Hello Kitty Velour Zip Up Hoodie and Jogger Pants Outfit Set Toddler to Big Kid,Walmart Product,$18.99,"Rating: 5.0, Reviews: 3"
3628000774,Walmart,Peanuts - Snoopy Valentine's Hugging Heart  - Toddler And Youth Short Sleeve Graphic T-Shirt,Walmart Product,$21.99,"Rating: 5.0, Reviews: 2"
5276100309,Walmart,Marvel Spider-Man Boys Hoodies Peter Parker Blue Graphic Pullover Tops Halloween Sweatshirts Toddlers Kids 4-5T,Walmart Product,$12.99,"Rating: 3.0, Reviews: 6"
5326288985,Walmart,"Bose Ultra Open Earbuds, Bluetooth Wireless Open Ear Headphones, Black",Walmart Product,$164.95,"Rating: 4.3, Reviews: 22.4K"
17045262072,Walmart,Loicainy Baby Toddler Girls Long Sleeve Jumpsuit 3 6 9 12 18 Months Floral Print Fake Two Pieces Patchwork Bow Romper and Cute Headband Set,Walmart Product,$12.99,"Rating: 4.7, Reviews: 820"
B01LR5S6HK,Amazon,"amazon basics Neoprene Dumbbells, Set Of 2, (4.5 Kgs Each ) - Navy Blue",Amazon Product,"₹2,389",Rating: 4.3
B0CT4BB651,Amazon,"Stanley IceFlow Stainless Steel Tumbler with Straw - Vacuum Insulated Water Bottle for Home, Reusable Cup with Straw Leakproof Flip - Cold for 12 Hours or Iced for 2 Days, 30 Oz, Lilac",Amazon Product,"₹16,024.15",Rating: 4.7
435337138,Walmart,"Good Sleep Bedding 100% Egyptian Cotton King Sheets, Luxury 1000 Thread Count 4 Piece Sheets & Pillowcases Set - Ivory",Walmart Product,$84.99,"Rating: 4.7, Reviews: 400"
19127002050,Walmart,"NICEBAY Hair Dryer Brush, Blow Dryer Brush, Curly, Dry, Oval Hot Air Brush with Air Curling Iron",Walmart Product,$59.89,"Rating: 4.8, Reviews: 2,323"
10970652792,Walmart,"48-Piece Silverware Set with Organizer, Stainless Steel Silverware Flatware Set for 8, Kitchen Utensils with Steak Knives, Mirror Polished Dinner Knife, Forks, Spoons, Tableware Serving Tray",Walmart Product,$29.99,"Rating: 4.8, Reviews: 414"
17523261689,Walmart,"5HP Foldable Treadmill for Home w/ 15% Auto Incline, 400lbs Capacity, 10MPH Portable Treadmill, 64+7 Programs, Personalized Workout with APP,  Running Walking treadmill",Walmart Product,$199.99,"Rating: 4.7, Reviews: 550"
1553775416,Walmart,"Loritta 5 Pairs Warm Wool Socks for Women, Thick Knit Thermal Crew Winter Warm Socks Size 5-9",Walmart Product,$9.69,"Rating: 4.7, Reviews: 664"
16402301141,Walmart,"AN Supps Essential PRE Workout Powder Pineapple Strawberry, 200mg Caffeine, No Sugar, Vegan, Gluten & Soy Free, Chiquita® Natural Flavor, Pre-Workout Energy Drink – 30 Servings",Walmart Product,$22.97,"Rating: 4.5, Reviews: 94"
14551419,Walmart,"Bio Ionic Graphene MX Hair Dryer, Powerful 1875W Motor, Lightweight, Professional Hair Dryer",Walmart Product,$10.97,"Rating: 4.5, Reviews: 5,729"
12385200517,Walmart,"Black + Decker 2-Slice Toaster, Extra-Wide Self-Centering Slots, Stainless Steel",Walmart Product,$39.99,"Rating: 4.7, Reviews: 1,706"
15813024789,Walmart,"Whiskey Glasses 10 oz Set of 10, Bulk Pack - Perfect for Scotch, Bourbon, Whiskey, Cocktail - Black",Walmart Product,$25.99,"Rating: 4.9, Reviews: 692"
113202282,Walmart,"Marketside Pizza Ranch Chopped Salad Kit, 12.6 oz Bag",Walmart Product,$3.37,"Rating: 4.4, Reviews: 921"
162577028,Walmart,"Fresh Cherubs Grape Tomatoes, 24 oz Package",Walmart Product,$0.83,"Rating: 4.0, Reviews: 10.1K"
122730097,Walmart,"InnovAsian Orange Chicken Meal, 18 oz (Frozen Meal)",Walmart Product,$5.87,"Rating: 4.6, Reviews: 5,310"
853001102,Walmart,"Bimbo Mini Mantecadas Vanilla Muffins, 8 twin packs, Mini Muffins, 17.6 oz Multipack",Walmart Product,$4.48,"Rating: 4.3, Reviews: 1,000"
37858875,Walmart,"Ball Park White Burger Buns, 8 count, Kosher Hamburger Buns, 15 oz Bag",Walmart Product,$2.47,"Rating: 4.4, Reviews: 12.3K"
15682669104,Walmart,"Kinder's Buttery Buffalo Frozen Chicken Wings, 19 oz Bag",Walmart Product,$7.94,"Rating: 4.4, Reviews: 3,775"
5014959803,Walmart,"Black Burgundy Red Rose Bouquet Building Set, Compatible with Lego Flowers for Adults - Christmas Botanical Collection - Gothic Artificial Flowers Home Decor",Walmart Product,$55.58,"Rating: 4.7, Reviews: 1,523"
17143768469,Walmart,"Emotional Support Valentine Heart Plush Toys, Set of 10 Plushies with Cards for Classroom Valentines, Gifts for Friends by Emotional Support Pals",Walmart Product,$19.97,"Rating: 5.0, Reviews: 11"
630562428,Walmart,Kanga Roos Chocolate Covered Peanut Butter Filled Pretzels 2oz Bag | Sweet and Salty Snack Treat | Crunchy Pretzels Coated in Chocolate | Grab-and-Go Candy Snack - 2 oz x 24 ct. - Peg Bag,Walmart Product,$4.97,"Rating: 4.7, Reviews: 1,487"
17732824958,Walmart,"Hallmark Funny Valentine's Day Card (Really, Really Like You)",Walmart Product,$2.74,"Rating: 5.0, Reviews: 2"
18332664128,Walmart,Marvel Spider-Man 16 Pack Valentine's Day Exchange Cards with Vinyl Stickers,Walmart Product,$3.88,"Rating: 4.9, Reviews: 123"
17260652268,Walmart,"2PCS Valentines Heart Shaped Topiary 30'' Artificial Snowman Shaped Topiary Tree Pot with Bow Tie Boxwood Topiaries for Valentine's Day Indoor Outdoor Home Porch Decor, Valentines Gift",Walmart Product,$45.00,"Rating: 4.7, Reviews: 123"
17620961573,Walmart,Hallmark Minecraft Valentine's Day Card for Kids (Explosion of Fun),Walmart Product,$3.97,"Rating: 4.8, Reviews: 24"
17046952653,Walmart,Plastic Valentine Heart Cups - Party Supplies - 12 Pieces,Walmart Product,$2.48,"Rating: 4.9, Reviews: 16"
17256821205,Walmart,"Hallmark Mini Assorted Valentine's Day Cards (Playful Kids), Pack of 8",Walmart Product,$3.97,"Rating: 4.1, Reviews: 7"
17760712850,Walmart,"Millie Loves Lily Girls Valentine's Day Red Hearts and Flowers Long Sleeve Dress And Legging Set, Big Girls, Size 12, 2-PCS",Walmart Product,$10.98,"Rating: 4.8, Reviews: 66"
17753308469,Walmart,"BTween Girls 3 Piece Long Sleeve Crew Neck Pullovers, Fleece Sweatshirt for Youth Kids, ROSE ,8",Walmart Product,$10.98,"Rating: 4.8, Reviews: 66"
17783555747,Walmart,"Girls' 4-Pack Fleece Lined Leggings: Whimsical Wonderland of Styles in Sizes 4-16! Unicorns, Flowers & Hearts Galore!, LAVEN,10",Walmart Product,$6.48,"Rating: 4.5, Reviews: 19"
17887806021,Walmart,Disney Pixar Cars Lightning McQueen Toddler Boys 3 Pack T-Shirts Infant to Little Kid,Walmart Product,$6.98,"Rating: 4.8, Reviews: 117"
17912069471,Walmart,Inktastic Happy Valentine's Day Train Boys or Girls Toddler T-Shirt,Walmart Product,$5.48,"Rating: 4.9, Reviews: 133"
17541659149,Walmart,"Strawberry Shortcake Toddler Girls Chenille Sweater, Sizes 12 Months - 5T",Walmart Product,$6.98,"Rating: 4.8, Reviews: 180"
17986513126,Walmart,Disney Minnie Mouse Girls Sherpa Zip-Up Hoodie Graphic Print Design Hooded Sweatshirt for Kids (Sizes 4-6),Walmart Product,$13.98,"Rating: 4.4, Reviews: 20"
17751050280,Walmart,"Kensie Girl Sequin Mesh Short Sleeve Red Dress, Sizes 4-16",Walmart Product,$6.48,"Rating: 4.9, Reviews: 15"
17756953951,Walmart,"BTween Girls Long Sleeve Dresses, 3 Pack Soft Cotton Casual Dresses for Kids Mauve, Size 10/12",Walmart Product,$10.00,"Rating: 4.6, Reviews: 19"
17559219024,Walmart,"Celebrity Pink Women's Zip Front Hoodie, Sizes XS-4X",Walmart Product,$16.00,"Rating: 4.5, Reviews: 13"
17970760538,Walmart,Twczz Girls St Patricks Day Shirts- Casual Long Sleeve Cute Soft Kids Luck Tops Mint Green Size 4-14,Walmart Product,$6.98,"Rating: 4.9, Reviews: 13"
17806956215,Walmart,Heart Sweater for Women Valentine's Day Cute Heart Printed Lightweight Sweaters Casual Creneck Pullover Shermie,Walmart Product,$17.98,"Rating: 4.4, Reviews: 33"
17568056423,Walmart,Angel Face Girls Pajama Set - 4 Piece Soft Poly Sleep Shirt and Pajama Pants for Girls (7-12),Walmart Product,$13.98,"Rating: 4.6, Reviews: 22"
849048709,Walmart,Fdqin Girls Fall Outfits 4 Pcs Hoodies for Teen Girls Long Sleeve Crop Sweatshirt Top and Jogging Sweat Pants Set Pink Beige 9-10 Years,Walmart Product,$17.88,"Rating: 4.7, Reviews: 390"
16440204677,Walmart,Oudiya Girls Contrast Mesh Short Sleeve A Line Party Dresses Black Formal Dress with Pockets for Tween 5-12Y,Walmart Product,$10.00,"Rating: 4.3, Reviews: 29"
17616818606,Walmart,Barbie Girls Fashion Tutu Dress Top and Butterfly Print Graphic Legging Pants 2Pcs Long Sleeve Outfit Sets Sizes 2-9Y,Walmart Product,$12.98,"Rating: 4.3, Reviews: 15"
